,OFIPS,DFIPS,comm,quantity,startRR,ONode,DNode,ODIST
0,17019,22093,2,454496.5136,103,,,
1,17019,22095,2,202793.976,103,,,
2,17035,22093,2,617160.888,103,,,
3,17051,22089,2,1059503.4192,103,,,
4,17053,22093,2,451258.0528,103,,,
5,17053,22095,2,433134.3776,103,,,
6,17075,22093,2,599193.2832,103,,,
7,17075,22095,2,207339.5264,103,,,
8,17079,22105,2,108976.1568,103,,,
9,17091,22093,2,196453.616,103,,,
10,17105,22069,2,433329.4656,802,,,
11,17111,22017,2,123997.9328,802,,,
12,17125,22069,2,223131.9,802,,,
13,17139,22017,2,81117.5904,802,,,
14,17195,22069,4,642483.3104,802,,,
15,17019,22093,4,257892.5232,103,,,
16,17019,22095,4,108141.7818,103,,,
17,17029,22089,4,11176.62,103,,,
18,17029,22095,4,115523.6732,103,,,
19,17035,22093,4,59012.5536,103,,,
20,17035,22095,4,110930.6146,103,,,
21,17041,22095,4,70053.4575,103,,,
22,17051,22095,4,170198.6338,103,,,
23,17053,22095,4,296441.2178,103,,,
24,17085,22093,4,201525.103,103,,,
25,17085,22095,4,59837.4946,103,,,
26,17113,22093,4,79034.67,103,,,
27,17139,22093,4,58906.1096,103,,,
28,17031,22071,4,31230.6696,555,,,
29,17023,22093,4,79825.0167,712,,,
30,17033,22093,4,58485.6558,780,,,
31,17033,22095,4,136729.9791,780,,,
32,17079,22093,4,53216.6778,780,,,
33,17113,22051,4,29367.8996,802,,,
